,path,id,review_title,stars,reviewDate,reviewNumHelp,reviewVerified,reviewComment
1182,1400501717,R3KZB7B2DDIJBH,Five Stars,5.0 out of 5 stars,"Reviewed in the United States on March 30, 2014",,Verified Purchase,read from it a lot but have to purchase books from within the states. No Canada site yet
1183,1400501717,R39YHIW6S7QHK1,great,5.0 out of 5 stars,"Reviewed in the United States on November 29, 2015",,Verified Purchase,Perfect
1184,1409133826,RZLR3PWK3XICW,Great read!,5.0 out of 5 stars,"Reviewed in the United States on August 30, 2017",,Verified Purchase,"I held off reading this for some time because I was worried about being disappointed. No need. This is really well written and very evocative of the original stories. I figured out what the ""House of Silk"" was pretty early, but it didn't matter. Very worthwhile read."
1185,1409133826,R3DHRNIGDABJB6,Brilliant,5.0 out of 5 stars,"Reviewed in the United States on November 10, 2018",,Verified Purchase,"A testament to the Doyle legacy, Horowitz creates a dark, twisting story that brings London, Holmes and Watson to life."
1186,1409133826,R2OL0WYBBMUT65,Good,5.0 out of 5 stars,"Reviewed in the United States on September 13, 2019",,Verified Purchase,Really creepy idea but great author
1187,1409133826,R3D6LN757O10PC,A Fantastic Adaptation of the Holmes Canon!,4.0 out of 5 stars,"Reviewed in the United States on March 24, 2017",2 people found this helpful,Verified Purchase,"The House of Silk by Anthony Horowitz is a novel that takes the Holmes and Watson characters originally written by Sir Arthur Conan Doyle and adds another story to the ever growing list of adaptations. Horowitz was one of the first authors to be officially endorsed by the Conan Doyle Estate, and not only uses the same characters but tries to emulate Doyle’s style as well. The novel begins with Holmes and Watson having a conversation with Edmund Carstairs, a middle-class man who believes someone has followed him back from America to torture and kill him. The case takes a turn when Ross a homeless boy that Holmes employs, is murdered as well as the discovery of the House of Silk, a secret society which seemingly operates at the highest levels of government. Throughout this narrative, poverty is intertwined into almost every scene and action. I believe that Anthony Horowitz successfully portrays the poverty plaguing the streets of Victorian London as well as emulates Doyle’s style, but he falls flat when faced with the cast of characters."
1188,1409133826,R2Q67UOOKGH21X,Watson and Holmes do London,4.0 out of 5 stars,"Reviewed in the United States on February 20, 2015",,Verified Purchase,"This is a fast paced, twisting, sometimes frightening romp by Holmes and Watson through the ""belly"" of London.  Well researched 1800's London history provides Horowitz with a perfect brush to paint the sets of this mystery that stretches to the highest chambers of Her Magesty's government.  Good read by a fine Holmes impersonator."
1189,1409133826,R2AWETJTE2TL1W,I loved it! I don't want to say too much ...,5.0 out of 5 stars,"Reviewed in the United States on July 26, 2018",,Verified Purchase,"This was so well written, I loved it! I don't want to say too much or I will give away the story, but it was a very quick read."
1190,1409133826,R108VMLEXWI397,Great reas,5.0 out of 5 stars,"Reviewed in the United States on March 2, 2020",,Verified Purchase,Any Sherlock Holmes fan will enjoy this book.
1191,1409133826,R3GYU64N3AEZIG,Three Stars,3.0 out of 5 stars,"Reviewed in the United States on September 21, 2017",,Verified Purchase,"Interesting, but not convincing as a Sherlock Holmes novel.  many of the characters somewhat plastic."
1192,1409133826,RNJLHYLLA0UF0,A fitting return,5.0 out of 5 stars,"Reviewed in the United States on September 20, 2013",,Verified Purchase,"I, like the author, have been changed by the genius of Doyle and Holmes. In that time I have read, watched, and played all the derivative works. Most are passable at best, some are offensive, a precious few stir me to an emotion. This has become, for now, the Great Work of homage to Holmes that all others should aspire to attain. The voice and method and pulse of it were perfect. For once I wasn't reading about an action hero with a supposed genius that solves more with violence. It was Holmes, the mind to equal the whole of London's police and criminal syndicates. I am becoming too hyperbolic so let me sum up with this-"
1193,1409133826,R13Q0A0C7TBV7C,Wow?,5.0 out of 5 stars,"Reviewed in the United States on November 15, 2018",,Verified Purchase,A compelling read. True to the original series and a page turner to boot. Dark but very contemporary in many ways
1194,1506380042,RBX5EAOZISVZE,Awesome,5.0 out of 5 stars,"Reviewed in the United States on October 27, 2019",,Verified Purchase,This book is awesome. I wish there was a bundle with all of the books contained to purchase.
1195,1506380042,R2TMWO7T0BX0UD,A must read..,5.0 out of 5 stars,"Reviewed in the United States on June 9, 2019",,Verified Purchase,Great info for an old teacher.....it is packed with multiple teaching strategies even for needy leaners.
1196,1506380042,R2T38EYK213U27,Must have,5.0 out of 5 stars,"Reviewed in the United States on October 19, 2020",,Verified Purchase,Must have for reading teachers! Great ideas and adapted lessons.
1197,1506380042,R1IP4TM5JYP1E2,Best Read Aloud Guide ever!!!!,5.0 out of 5 stars,"Reviewed in the United States on September 20, 2020",,Verified Purchase,I use this book everyday for read aloud. It’s so easy to use. I set it in my lap and read all of the prompts. Considering I was terrible at doing read alouds before this has made it so much better. I even requested my building PD team purchase the books for my colleagues and they said yes!!!!
1198,1506380042,R2QWWWTKA563KI,Great resource for teachers and parents!,5.0 out of 5 stars,"Reviewed in the United States on February 7, 2021",,Verified Purchase,"This has helped so much in my classroom! I love that each read aloud has the learning targets, vocabulary words, extension activities, and similar titles. Wonderful resource for teachers and parents alike!"
1199,1506380042,R2W1E9ZR4QBYO7,Great resource fro librarians,5.0 out of 5 stars,"Reviewed in the United States on December 30, 2019",,Verified Purchase,I am a new librarian and needed something to help me plan. This books suggests activities with several book choices to go along with the activity. You will not be disappointed.
1200,1506380042,R2C19Y5G344900,Must have,5.0 out of 5 stars,"Reviewed in the United States on February 3, 2020",,Verified Purchase,This is an excellent resource for read aloud ideas.
1201,1506380042,R3RSDGEIU3Q055,Great for all ages,5.0 out of 5 stars,"Reviewed in the United States on January 12, 2019",,Verified Purchase,Found lessons for comprehension strategies that I could use in my classroom-showed students in a new way!
1202,1506380042,R2ZOHSCDIH3EBE,Great!,5.0 out of 5 stars,"Reviewed in the United States on December 8, 2019",,Verified Purchase,"Perfect, easy to read, quick and to the point. Great for any elementary teacher!"
1203,1506380042,RD2PZQZLX8HQW,Love it!,5.0 out of 5 stars,"Reviewed in the United States on November 28, 2020",,Verified Purchase,Great resource that uses many current titles. Easy ready to go lessons.  I use them as sub lessons since they are so through.
1204,1441888128,R3JIU6ZZVBDJ32,Annoyingly similar to The Shack,2.0 out of 5 stars,"Reviewed in the United States on March 7, 2011",One person found this helpful,Verified Purchase,"Well, I was not sure what to expect. When I read a suspense Christian fiction, I like something that is more in the lines of something Ted Dekker, or many of the other supernatural/suspense,Christian authors would write. This book just annoyed me to no end."
1205,1441888128,RESLQVCCFKS44,AWESOME book !!,5.0 out of 5 stars,"Reviewed in the United States on July 3, 2020",,Verified Purchase,"I truly enjoyed this book. At times I thought that this is strange. It really made me think a lot and pray a lot , but overall it was a totally awesome book.."
1206,1441888128,R10MUYQARMIHXC,God is Power and Power is now!,5.0 out of 5 stars,"Reviewed in the United States on June 1, 2016",2 people found this helpful,Verified Purchase,Riveting. I could not put this book down. Rubart captures the real struggles we face when we hear the enemy's voice and we think it's our own thoughts. I've been there and I can relate! I recommend this book to anyone looking for rescue or Christians in need of inspiration! I chose this 5 star rating because it is very well laid out and interesting the whole way through. The author definitely has a close relationship with The Father! I'm going to buy another book right now by James L. Rubart!
1207,1441888128,R3V9YVE90R8EQH,Beautiful!,4.0 out of 5 stars,"Reviewed in the United States on August 23, 2013",One person found this helpful,Verified Purchase,"I love good Christian fiction but don't care for Amish, prairie, or any other kind of romance novel.  I like in depth plots and well developed characters.  I've read everything by Ted Dekker, Robert Whitlow and Davis Bunn and didn't know where else to turn. I came across Rooms when iBooks had it on sale. I loved it so much I recommended it to several people and bought this copy from Amazon as a gift."
1208,1441888128,R2IZR8DKJZFI48,It was a great read!!!,5.0 out of 5 stars,"Reviewed in the United States on June 5, 2018",,Verified Purchase,I absolutely loved reading this novel.  It made me think and pray more often.  I didn't like having to put it down for work or bed time.  I immediately bought three other books of his and just finished the first of the three books.  Of course I immediately started reading the second one in the series. LOL
1209,1441888128,R1NM4V0RWCRUWK,Thrilling Christian love story,5.0 out of 5 stars,"Reviewed in the United States on June 13, 2018",,Verified Purchase,I found the book was hard to put down and I was anxious to keep reading till I finished.  I enjoyed how the writer enchriched the story with appropriate and timely scripture verses.
1210,1441888128,R37HRED5CWQ3U7,A Unique Spiritual Journey,5.0 out of 5 stars,"Reviewed in the United States on January 19, 2019",,Verified Purchase,Most Christians will be challenged to rethink their spiritual journey as they read this unique and creative spin on God's bringing one of his straying sheep back into the fold via supernatural events in a modern setting.
1211,1441888128,R1C4ZJM22WFGMW,"If you like to be preached at, this book is for you",2.0 out of 5 stars,"Reviewed in the United States on May 18, 2018",,Verified Purchase,"I can't stomach religious themed books. Can't believe I got through the whole thing. Magical thinking (miracles, angels, the devil). I'm sorry I looked at the stars without reading the reviews. Kept waiting for some realism to kick in. Science fiction is more believable."
1212,1441888128,R2XP5F2DH9VETH,couldn't finish,2.0 out of 5 stars,"Reviewed in the United States on October 19, 2014",2 people found this helpful,Verified Purchase,"The first part of the book really swept me in.  I really liked the author's style.  However, the further I tried to read, the more I developed a dislike for it.  At first the rooms appearing seemed weird, but when it got to the room that it was 'himself' in the room, it was just silly to me.  I'm sure there is some subliminal message or thought to the story line, but I lost interest.  I don't want to have to guess what an author is saying."
1213,1441888128,R27UYO5ETXAG4T,Just what I needed,5.0 out of 5 stars,"Reviewed in the United States on May 20, 2018",,Verified Purchase,"Okay, tough review to put into words....we're all searching right? I loved"
1214,145582867X,R2GJ3HIOZGIPCY,,,"Reviewed in Canada on August 21, 2016",One person found this helpful,Verified Purchase,"A wonderful book to guide us with the deep vibrations between the heart and the brain..With this connection ,healing happens....with the speed of sound...!Danielle Schnupp"
1215,145582867X,R1OKHNM6ZRHOMR,,,"Reviewed in India on January 7, 2021",,Verified Purchase,The book didn’t seem new. Has creases/lines all over the cover
1216,145265462X,R13W92D90NLQ28,I love it,5.0 out of 5 stars,"Reviewed in the United States on January 26, 2018",,Verified Purchase,Beautiful story of humans breaking down and finding themselves among the ruins.
1217,145265462X,RAFW7QBAX9RY,,,"Reviewed in the United Kingdom on January 29, 2017",,Verified Purchase,quite sad a great book
1218,145265462X,R2MIZ6ZE0A32GH,,,"Reviewed in Canada on May 13, 2017",,Verified Purchase,Fast shipping...... item as described!!!
1219,145265462X,R1VXQ19GLDCZQF,,,"Reviewed in the United Kingdom on March 31, 2016",,,"I found this book honestly overdone. The grief, guilt, misery, woe, complexity - you name it - are all laid on with a trowel and, for me, that made it hard to relate to. It got unbelievable very fast and at time was almost a parody. I didn't finish it - which is rare for me - and I did try reading it again a few months later but failed completely with it."
1220,145265462X,R1YZK93XDA3BIR,,,"Reviewed in the United Kingdom on May 22, 2012",One person found this helpful,,"What this book lacks in pace it makes up for in prose. Hager Cohen writes beautifully, with almost poetic observation, but this cannot disguise the plodding plot of The Grief of Others.  It's unfortunate that there is an absence of intrigue in the novel - the subject matter is heart-wrenching and could have drawn in even the most emotionally-devoid reader but it doesn't. The family in this book have suffered a tragic loss with the death of their newborn son only 57 hours after his birth, due to the tragic defect Anencephaly.  This isn't the focus of the novel, however - it focuses (as suggested by the title) on the family's grief, or rather the lack of it as it would appear to others."
1221,145265462X,RDT9NC29QY31K,,,"Reviewed in the United Kingdom on November 4, 2012",,,"The story of grief and the loss of a baby ,  a baby born with a condition "" incompatible with life"", and the family coming to terms with this and the changes this makes within their relationships."
1222,145265462X,R43HS3FXONYT4,,,"Reviewed in the United Kingdom on June 21, 2012",,,"This book tells the story of one family, one year on from the tragic death of their baby-who died aged only 57 hours."
1223,145265462X,RK1Q22481YD5L,,,"Reviewed in the United Kingdom on May 10, 2012",One person found this helpful,,This is not the easiest of books to read - at least l found it quite hard going.
1224,145265462X,R1I8NL0W2OF01G,,,"Reviewed in the United Kingdom on May 28, 2012",,,"A very well written book with lots of description but for me, not a page turner."
1225,145265462X,R3C7JVEZ22OTUN,,,"Reviewed in the United Kingdom on August 7, 2012",2 people found this helpful,,"This book tells the story of the Ryrie family and is centered around the tragic loss of their newborn baby boy, who died at just 57 hours old.  You learn about each member of the family and how the loss has affected them.  For me I found this book slow and hard going, it was a depressing read and apart from feeling empathy for the family at having to go through such a loss, I didn't particularly like any of the characters."
1226,140053271X,R3UDRJMIM1CYRA,I am highly impressed with it and recommend to anyone that is leery about it,5.0 out of 5 stars,"Reviewed in the United States on January 23, 2017",,Verified Purchase,I was hesitant to purchase a refurbished product but after using it I would never have guessed that it wasn't brand new. I am highly impressed with it and recommend to anyone that is leery about it.
1227,140053271X,R15N79PH25F3HX,Cool gift,5.0 out of 5 stars,"Reviewed in the United States on January 11, 2014",One person found this helpful,Verified Purchase,It was a little spendy (because I can be cheap) but the overall product was great! Didn't want to deal with the return when I got another one for less. So I gave it to my other sister. They both love their nooks.
1228,140053271X,R21OAWQB2GK10Z,Love,5.0 out of 5 stars,"Reviewed in the United States on May 28, 2014",One person found this helpful,Verified Purchase,I love it!  Crisp clear page!  I sit outside in my lawn chair in the bright sunlight and read without a problem!  My daughter took it to the beach with her and loves it!
1229,140053271X,R2BQH6U8O77J8H,Five Stars,5.0 out of 5 stars,"Reviewed in the United States on August 13, 2015",One person found this helpful,Verified Purchase,works great.
1230,140053271X,R2ZLADUZUGGIJR,Does the job and good for the money spent...,4.0 out of 5 stars,"Reviewed in the United States on June 27, 2013",One person found this helpful,Verified Purchase,Wife bought this for her elderly mother - but she couldn't quite get the hang of using it (tech challenged)... My wife has been using it instead and seems to like it pretty well... All is good :)
1231,140053271X,R2M1AHQB3M0W6R,great value,5.0 out of 5 stars,"Reviewed in the United States on November 17, 2013",One person found this helpful,Verified Purchase,"very very good value for this reader, and I am grateful for the quick exchange they made when the first unit developed a problem right away.  They immediately sent a replacement.  Immediately."
1232,140053271X,R1859NCT0DZRE3,It's a solid e-reader with an amazing battery life,3.0 out of 5 stars,"Reviewed in the United States on December 4, 2014",,Verified Purchase,"It's a solid e-reader with an amazing battery life, but the screen broke under very little pressure inside of a backpack, wrapped in a jacket, on a flight. So disappointing."
1233,140053271X,RMB38DTMRWCZC,Four Stars,4.0 out of 5 stars,"Reviewed in the United States on September 29, 2016",,Verified Purchase,I bought this one to replace an old one that stopped working.
1234,140053271X,R2ZTDS7XMYE8PP,Nook makes reading pleasurable on the go,5.0 out of 5 stars,"Reviewed in the United States on August 6, 2013",,Verified Purchase,Easy to use.  I got it mainly for the ability to adjust the font size for easier reading as the public library has a limited number of large print books.  When we travel I don't have to lug around 3-4 books.  The Nook fits easily in a small travel bag or purse.
1235,140053271X,R3R3CQ2YA1LF03,all good,5.0 out of 5 stars,"Reviewed in the United States on September 21, 2016",,Verified Purchase,Very good reader for price and specifications
1236,1433203324,R17RW1KLIEM6VI,Great SciFi Read,5.0 out of 5 stars,"Reviewed in the United States on May 22, 2016",,Verified Purchase,"This is an excellent Sci-Fi read. Matheson gets into the head of his character Robert Neville. He gets into the biology of the creatures Neville is dealing with. He explores the problems of isolation and the need and desire for human contact. It's a great Sci-Fi read, quick to get through, highly recommended."
1237,1433203324,R196UIUSKNKBZJ,Must read--forget about the movie.,5.0 out of 5 stars,"Reviewed in the United States on June 30, 2014",,Verified Purchase,Great read!  Kept me interested the whole story which I loved.  I had seen I am Legend with Will Smith which was good and he is a very good actor but of course some changes as expected from the book.  I truly love the book better.  The storyline is smooth and you never get lost.  Character development was wonderful.  Quite different ending from the movie but I really liked the ending in the book much better.  So much in line with the development of the story line.
1238,1433203324,R3PDC9S4GOYFKM,Fantastic,5.0 out of 5 stars,"Reviewed in the United States on July 30, 2019",,Verified Purchase,I'm glad I read this after I saw the movie. I enjoyed the movie well enough but this story is far superior. The author expresses so many things so well. His take on vampirism is brilliant. Truly a must read for sci-fi fans.
1239,1433203324,R2IGGMQUXX9QNG,Outstanding novel marred by slipshod editing,4.0 out of 5 stars,"Reviewed in the United States on April 30, 2014",,Verified Purchase,"I recently bought the kindle version and was disappointed to find sloppy editing had rendered portions of the beginning unintelligible. Buyer beware. However, please don't let that stop you from a compelling read. Unlike some of the clumsy Hollywood adaptations, ""I am Legend"" is subtle and introspective, with a solid foundation, regardless of the seemingly dated premise."
1240,1433203324,R29H9OZDY9OC24,Got the book in expected time.,3.0 out of 5 stars,"Reviewed in the United States on May 7, 2020",,Verified Purchase,This book was written in 1950s and up dated in 1980s. It is nothing like the movie. It is about vampires that talk to him at night who call him by name and wants him to go outside.
1241,1433203324,R5WNZGXWZ20DF,"Shorter than I expected, but bleak and compelling",4.0 out of 5 stars,"Reviewed in the United States on August 6, 2020",,Verified Purchase,"A good book. Well written, compelling and interesting (although surprisingly short). I had not seen the movie before (still haven't, as of writing this comment) and knew very little about it. I liked the bleak, fatalistic tone carried throughout."
1242,1433203324,R3TY2GSGDGTJT6,The new normal,5.0 out of 5 stars,"Reviewed in the United States on June 10, 2012",,Verified Purchase,"Robert Neville blockades himself in his home every night to ward off the hordes of vampires that have overtaken the world.  By day, he slays the undead in their sleep and researches their affliction, never suspecting what he himself is turning into."
1243,1433203324,R1OMLPKEKUFETZ,An amazing story of the last survivor of mankind!,5.0 out of 5 stars,"Reviewed in the United States on November 10, 2013",One person found this helpful,Verified Purchase,This story for me was extremely well written and intriguing. The last survivor of the human race that is really pure human struggles with his situation while surrounded my enemies out of ancient legends. He is alone in the world and his mentality finds it difficult to just surrender and give up. His actions are geared to survive and actually fight back against his enemies. He is the last of an old race and he suddenly realizes that evil kills evil.  He realizes that he has become legend for the new race being born.....
1244,1433203324,R2NJ17PZ90US1E,Never felt like I was invested in it,2.0 out of 5 stars,"Reviewed in the United States on March 28, 2018",,Verified Purchase,"Honestly, the story is just average for me. Never felt like I was invested in it. I would probably rate this a 3 star book, but I was annoyed that the story abruptly ends in the middle of the paperback. There is no marketing to suggest that half of this physical book contains unrelated short stories from the author."
1245,1433203324,R14AJ2BJ5V4Q5,Great Story! Enjoyed every page!,5.0 out of 5 stars,"Reviewed in the United States on January 19, 2014",,Verified Purchase,"It is amazing how different the movie was to the book. I understand it has to be modernized but at least they could have made a better effort. This story reveals what loneliness can actual feel like and what it can truly do to a person. How many people can truthfully say they're alone, utterly and completely isolated from anyone who can feel your pain or excitement and can truly converse with you. In this world of connectivity and social exposure I wouldn't think there would be many at all. The movie sensationalized the vampire aspect of the book instead of the true purpose of the story. This book is, as usual, much better than the movie and very different in the story. Enjoy!"
1246,1568659121,RGPH0542LL747,Did anyone proofread this?,1.0 out of 5 stars,"Reviewed in the United States on August 9, 2006",6 people found this helpful,,"I agree with the reader(s) who said this book totally contradicts itself and seems thrown-together, as if no one proofread it.  In one chapter she'll recommend something; then later on she'll tell you it's ineffective and/or dangerous!  She gives a long, long list of herbal supplements that are supposed to aid weight loss -- but she just repeats all the advertisers' claims without any comments, recommendations or opinions of her own.  Personally I think most natural/ herbal supplements are a ripoff, but if she had given any testimonials by people who've found them to work, I might consider trying them. On the whole, this book is a waste of money."
1247,1568659121,R3GXV8JQDMVA5R,All Tips without the Hype,5.0 out of 5 stars,"Reviewed in the United States on February 19, 2001",23 people found this helpful,,"This book is the best!  First, I loved the interviews with successful dieters.  Real stories (very blunt) about marriages breaking up, embarassing moments, you name it.  Then, I liked the research that Ms. Irons has done with scientists explaining myths and supplements.  Another area that this book has that no other diet book does is how to look your best while going down the scale.  That's a great approach!  What really makes me use this book each day to keep me motivated are the absolutely delicious recipes (about 100).  Not only are they easy to use, but they're all under 200 calories.  Cookies, meatloaf, even chocolate truffles (60 calories).  I've read every diet book on the market, not any come close to a realistic life plan.  This does it all!"
1248,1568659121,R3BAR0MBDIQVKN,5 Diet Books in One!!,5.0 out of 5 stars,"Reviewed in the United States on November 16, 2000",19 people found this helpful,,"I feel this is the best diet value out there.  It's not one diet, but diet tips taken from famous people and every day people, a compilation of delicious recipes that I have found very easy to make (love the enchiladas & s'more fudge), as well as free resources.  Ms. Irons has done her homework, and has covered everything from supplements (with warnings!) and mind games that really work!  I would have paid $14.95 for the 100 recipes all under 200 calories alone.  The rest (spa secrets,anti-bloating, dressing thinner,) is an absolute bargain!!"
1249,1568659121,R7WRFSJOWV1QS,Four Stars,4.0 out of 5 stars,"Reviewed in the United States on December 22, 2014",,,Liked it!
1250,1568659121,R1UH7UGXFG609V,This was a great book!!,5.0 out of 5 stars,"Reviewed in the United States on June 21, 2001",6 people found this helpful,,"I would just like to say, to all those other reveiws out there, just because you guys dont agree with the book, you dont have to put Diane Irons down!! You probly just dissagre with it because your jealous of all the skinny people in hollywood. You knew what to expect before picking the book up so stop complaining!!! Anywayyysss, for those gurls out there who want to drop a few quick pounds.....get this book!!its a great book to have on hand just incase your ex-boyfreinds coming to town, or you just want to impress your husband...its great!!"
1251,1568659121,R3VB5YRT3AFFFJ,Read it in a half hour,3.0 out of 5 stars,"Reviewed in the United States on March 23, 2007",,,"I actually kind of like that this book is laid out in ""snipets"" of information. Most of it you've heard before. Each ""dieter"" has a completely different approach, so I found it to be confusing. But really all that means is the old ""whatever works for you""."
1252,1568659121,R1F7O9VFU5GDS4,This book offers much more than a diet.,4.0 out of 5 stars,"Reviewed in the United States on August 30, 1998",23 people found this helpful,,"I really enjoyed this book.  It offers many practical suggestions for  healthy eating and weight loss.  While it is not a diet, it offers  inspiration on many levels.  I plan to read  it regularly  to boost my  resolve and renew my commitment to the improvement of my own lifestyle."
1253,1568659121,RPVNTCNCJTSLO,ridiculous! Not worth the paper it is printed on!,1.0 out of 5 stars,"Reviewed in the United States on April 2, 2001",9 people found this helpful,,"Diane, what exactly are you professing? That we all adopt ridiculous ""hollywood secrets"" to become anorexic in order to be thin? Your tips are dangerous, not sound nutrition and make you look like a snake-oil salesman trying to peddle this junk to the dieters of America.  Really, there needs to be some sort of standard someone must pass before they can put out a diet book, like that you should have had to atleast have been heavy once and used these tips to lose weight.  Those that can't.......teach~! right Diane!?"
1254,1568659121,R2DNARWQYR9TAM,Disappointed and apalled!,1.0 out of 5 stars,"Reviewed in the United States on January 19, 2001",11 people found this helpful,,"A dangerous book for almost any woman to read.  The author believes we should all strive to be Elle Mcpherson (who, by the way, must choose between 2 meals a day) or other supermodels and female celebrities who fast for days to lose wieght.  The diet ""tip"" are hackneyed and there is not one passage about learning to like yourself."
1255,1568659121,R3OUMTFNQKMMKA,The World's Best-Kept Diet Secrets,3.0 out of 5 stars,"Reviewed in the United States on April 2, 2007",,,Fairly same information from her previous books that i bought
1256,1409133826,R3OROYM2UQOHEJ,a worthy addition to the heritage,4.0 out of 5 stars,"Reviewed in the United States on February 14, 2014",,Verified Purchase,"i have been reading, and rereading the sherlock holmes stories since i was 11, and have browsed the pastiches and what have you as well, wishing conan doyle had written more, or more properly, wishing i could return to that world. Horowitz has created a worth addition to that collection. it's not awesomely brilliant, but he has the characters right, i believe, and that makes it worthy of the time and treasure spent to purchase and read it. i wish he would write more!"
1257,1409133826,R3M7M33Y0HDSFC,A Great Read,5.0 out of 5 stars,"Reviewed in the United States on September 12, 2020",,Verified Purchase,My husband and I love Sherlock Holmes novels and this was another great read.
1258,1409133826,RD4BRN5ROP6QZ,Remarkably like the real thing.,4.0 out of 5 stars,"Reviewed in the United States on July 25, 2018",,Verified Purchase,A very enjoyable book for fans of Sherlock Holmes. I felt as if Dr. Watson had written this himself.  Highly recommended.
1259,1409133826,R1EGSQNTGOS3OQ,True to Conan Doyle,5.0 out of 5 stars,"Reviewed in the United States on December 27, 2020",,Verified Purchase,"A wonderful read for Holmes fans. Everything rings true and remains faithful to the original Holmes stories, yet the author manages to make the story credibly dark and mature for modern readers."
1260,1409133826,R1MZ9FHW59V8Z1,An Instant Classic,5.0 out of 5 stars,"Reviewed in the United States on December 27, 2011",,Verified Purchase,"After roughly one hundred years the Arthur Conan Doyle Estate has finally sanctioned a new Sherlock Holmes novel. The extraordinary honor of writing this book has been given to Anthony Horowitz, who in turn has created what I believe to be an instant classic that can definitely stand up to Doyle's best work."
1261,1409133826,R193TXIA1EIRVN,Great read,5.0 out of 5 stars,"Reviewed in the United States on December 23, 2017",,Verified Purchase,"I haven’t read a lot of Conan Doyle’s work, but am familiar enough with it to enjoy this Horowitz send up. Great read."
1262,1409133826,R13I8I8A4BHLFY,Holmes and Watson live.,5.0 out of 5 stars,"Reviewed in the United States on July 2, 2018",,Verified Purchase,All fans will enjoy this. Fans of Holmes and Watson will be happily drawn into a new and unsettling adventure.
1263,1409133826,R2O9BWOZ82QTYY,My husband is a Sherlock Holmes fanatic and he loved this book,5.0 out of 5 stars,"Reviewed in the United States on January 21, 2017",,Verified Purchase,"My husband is a Sherlock Holmes fanatic and he loved this book. He couldn't put it down. He said it was like Sir Arthur Conan Doyle had written it himself. When he finished (in about a day!!), he immediately went out and bought the next one!"
1264,1409133826,R3UN8YXMZEYF9Y,back to childhood,5.0 out of 5 stars,"Reviewed in the United States on December 9, 2012",,Verified Purchase,this was like going back about 50 years. i loved sherlock holmes when i was young and this book fulfilled all my expectations. the author did an amazing job with style and atmosphere. i'm not sure i could have said conan doyle didn't write it. one strange thing happened while i was reading. some horrendous deed was to be uncovered and i was fascinated to find out what the villains were up to. when i found out i was somewhat disappointed because what they were doing is well known today and there are many films and tv series mentioning the subject. nothing new under the sun. if you like sherlock holmes - highly recommended.
1265,1409133826,R29LE6K9FL9E3W,Excellent Holmes adventure,5.0 out of 5 stars,"Reviewed in the United States on February 13, 2020",,Verified Purchase,Sherlock Holmes fans will not be disappointed with this mystery that he and faithful Watson pursue. Their characters and dialogue evoke Victorian London for the reader just as Conan Doyle did so many years ago.
1266,142720019X,R30N7QWSURPCJA,PageTurner,4.0 out of 5 stars,"Reviewed in the United States on July 9, 2015",One person found this helpful,Verified Purchase,"Gripping story, just the right degree of complexity, terrific, like able characters, and very well written. Couldn't put it down."
1267,142720019X,RJN863M2IAT3X,A fun read...,5.0 out of 5 stars,"Reviewed in the United States on January 7, 2013",,Verified Purchase,"When a book takes the reader on journey through 3 or 4 decades it can be challenging,  Restless is more of an engrossing puzzle, with spies and intrigue and mystery.  Go ahead give it a read."
1268,142720019X,R2QP0ZNWUIPE3Q,greatest war novels of all time,2.0 out of 5 stars,"Reviewed in the United States on March 18, 2018",One person found this helpful,Verified Purchase,"Found this book recomended on short list,  greatest war novels of all time. I personally don't think this book fits that category. That said, I read it all the way through. I don't finish books I don't like so 2 stars."
1269,142720019X,R29KLYTRE2I96Z,Worth Reading,5.0 out of 5 stars,"Reviewed in the United States on December 19, 2016",,Verified Purchase,Good Story and worth the money.
1270,142720019X,R117UYAVF5VHIR,How little we know about anyone,4.0 out of 5 stars,"Reviewed in the United States on March 2, 2013",,Verified Purchase,"Main characters in this book are a single mother with a young son and her relationship with her mother.  The daughter fears that her mother is going senile but the mother begins to write the story of her life and hands chapters to the daughter to read.  The unfolding plot is very suspenseful when the mother turns out to be someone that has a huge secret to tell.  A bit of historical fiction, relationship twists, and drama."
1271,142720019X,R2KJARGG8131HU,Gripping spy thriller.,5.0 out of 5 stars,"Reviewed in the United States on June 15, 2020",,Verified Purchase,Couldn’t put the book down.  William Boyd weaves a tangled tale of WWII espionage.  A fast read that is highly recommended.
1272,142720019X,R3DJUWFMTI79K5,"Spies, lies, truth and fiction",4.0 out of 5 stars,"Reviewed in the United States on July 8, 2013",One person found this helpful,Verified Purchase,"An intriguing, at times mesmerizing story. It reminds one of the real story of Soviet spy Melita Norwood, outed by defector Vasili Metrokin in the early nineties. Her daughter and family were totally unaware of her espionage role until the truth was revealed when she was in her eighties. Boyd's elderly spy is believable. However, I think the writer missed the mark when trying to write from a female perspective, especially with daughter Ruth. Perhaps the spy's child should have been a boy!"
1273,142720019X,R2J97BGRFUYBQU,Entertaining and thoughtful,4.0 out of 5 stars,"Reviewed in the United States on February 7, 2013",,Verified Purchase,This book was a delightful journey ... I enjoyed it immensely. I rated it 4 stars as I felt that the book ended without final resolution to some questions. But the overall story was a terrific read. I will read more of this author's books.
1274,142720019X,R2T69BGE6C5Y0B,Spy story,5.0 out of 5 stars,"Reviewed in the United States on July 11, 2020",,Verified Purchase,Great writing. Page-turner story.
